,Popular Hashtags,frequency
0,#yummy,11
1,#delicious,11
2,#dilsefoodie,10
3,#foodtalkindia,10
4,#discover,10
5,#instafood,10
6,#foodiesofindia,10
7,#foodblogger,10
8,#food,9
9,#eat,6
10,#dilsecouple,5
11,#mumbai,4
12,#newyorkcity,4
13,#GinOClock,3
14,#bengaluru,3
15,#newlaunch,3
16,#holidays,3
17,#foodnews,3
18,#gin,2
19,#ginexplorersclub,2
20,#ToASeminar,2
21,#cuisine,2
22,#Sindhi,2
23,#mythicaledition,2
24,#GoVisit,2
25,#baking,2
26,#winterspecial,2
27,#menus,2
28,#restaurants,2
29,#holidayseason,2
30,#restaurant,2
31,#bar,2
32,#foodart,2
33,#christmas,2
34,#cocktails,2
35,#TasteofAmerica,2
36,#newbar,2
37,#dining,2
38,#hamburger,1
39,#christmasiscoming,1
40,#foodscene,1
41,#winter,1
42,#waffles,1
43,#cakes,1
44,#mexicanrestaurant,1
45,#miniwaffles,1
46,#piecaken,1
47,#goldbelly,1
48,#festive,1
49,#proteinwaffles,1
50,#wafflehouse,1
51,#miniwafflemaker,1
52,#mexicanfood,1
53,#freezing,1
54,#mezcal,1
55,#ixtanyc,1
56,#waffels,1
57,#CelebrationsAt1oak,1
58,#wafflicious,1
59,#waffleswaffleswaffles,1
60,#messyfun,1
61,#wafflewednesday,1
62,#birriatacos,1
63,#mcdonalds,1
64,#tacotuesday,1
65,#tacos,1
66,#tequila,1
67,#fries,1
68,#cold,1
69,#frozen,1
70,#christmaswaffles,1
71,#homestays,1
72,#1oak,1
73,#party,1
74,#chicken,1
75,#meat,1
76,#wine,1
77,#pizza,1
78,#streetfood,1
79,#cholekulche,1
80,#misalpav,1
81,#golgappe,1
82,#dubaifood,1
83,#reel,1
84,#buffet,1
85,#sandozbbq,1
86,#kesardadhaba,1
87,#desigheeparantha,1
88,#amritsarfood,1
89,#muttoncurry,1
90,#puransinghdhaba,1
91,#NYE,1
92,#drinks,1
93,#delhi,1
94,#hotsauces,1
95,#aryankhan,1
96,#vodka,1
97,#dyavol,1
98,#NewInTown,1
99,#organic,1
100,#homemade,1
101,#homegrown,1
102,#pickles,1
103,#greenandred,1
104,#mountains,1
105,#newyear,1
106,#nye,1
107,#holidayretreat,1
108,#snacks,1
109,#sauces,1
110,#bomb,1
111,#fiery,1
112,#redandgreen,1
113,#whiskey,1
114,#wafflelove,1
115,#conference,1
116,#globalcuisine,1
117,#yum,1
118,#Deli,1
119,#SameSameButDifferent,1
120,#Andheri,1
121,#influencers,1
122,#taste,1
123,#allamerican,1
124,#American,1
125,#ingredients,1
126,#Seminar,1
127,#love,1
128,#TasteOfAmerica,1
129,#Menu,1
130,#seafoodfestival,1
131,#seafoodmenu,1
132,#seafoodheaven,1
133,#seafoodlover,1
134,#squids,1
135,#squid,1
136,#salmon,1
137,#trout,1
138,#dineout,1
139,#worli,1
140,#whohangry,1
141,#mumbaiblogger,1
142,#singlemalt,1
143,#GlenmorangieIndia,1
144,#DeliciousDesignProject,1
145,#lotusstem,1
146,#moringaflowers,1
147,#makhana,1
148,#foodbloggers,1
149,#fbai,1
150,#mumbaifoodbloggers,1
151,#mumbaibloggers,1
152,#AllAmerican,1
153,#lounge,1
154,#cocktail,1
155,#Hotspot,1
156,#drink,1
157,#campari,1
158,#negroni,1
159,#DidYouKnow,1
160,#newrestaurant,1
161,#Mumbai,1
162,#alfresco,1
163,#rooftop,1
164,#fish,1
165,#Prawn,1
166,#prawns,1
167,#friedchickensandwich,1
168,#bakeries,1
169,#strawberies,1
170,#foodcollabs,1
171,#hiddengems,1
172,#sushilovers,1
173,#sushi,1
174,#foodhacks,1
175,#latkeseason,1
176,#latkes,1
177,#hannukah,1
178,#hidsonyard,1
179,#seafood,1
180,#nyc,1
181,#newforkcity,1
182,#eeeeats,1
183,#foodie,1
184,#foodporn,1
185,#firstwrfeast,1
186,#chickensandwich,1
187,#whisky,1
188,#hothoney,1
189,#sichuan,1
190,#williamsburg,1
191,#brooklyn,1
192,#bagels,1
193,#bagelsandwich,1
194,#colaba,1
195,#lotusseed,1
196,#seeds,1
197,#seed,1
198,#lotus,1
199,#cordeliacruises,1
200,#savewater,1
201,#waterconservation,1
202,#sea,1
203,#ocean,1
204,#waterislife,1
205,#drinkingwater,1
206,#water,1
207,#cleanwaterforall,1
208,#stoppollution,1
209,#WorldWaterDay,1
210,#foodtruck,1
211,#losangeles,1
212,#bagellords,1
213,#yeastieboys,1
214,#baconeggandcheese,1
215,#fuku,1
